doNo,subDoNo,mngFctryCd,facBranchCd,shipperCode,setCd,cntNo,yr,ssnCd,dptPortCd,cntry,exf,packKey,epc,SOnumber,PO,SKU,UPC
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A00018A,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A000189,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A000185,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A000181,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A00017B,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A000173,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A000170,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A000161,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A00015F,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A00015C,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A000158,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A000155,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A000154,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A00014D,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A000147,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A000146,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A000144,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A000140,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A00013E,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A00013A,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A000139,s,s,s,2000190225106
D0424-465189-013-01,1,005O,14,1373,00-002-000,77,2024,2,KHPNH,Phnom Penh,2024-05-09,04244651890130142140000200000077,00B07A14F815FBAF8A000136,s,s,s,2000190225106
