doNo,subDoNo,mngFctryCd,facBranchCd,shipperCode,setCd,cntNo,yr,ssnCd,dptPortCd,cntry,exf,packKey,epc,SOnumber,PO,SKU,UPC
D0124-470050-005-05,1,01FA,21,8958,08-004-000,12,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000012,00B07A14F039C71120001216,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,12,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000012,00B07A14F039C71120001203,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,12,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000012,00B07A14F039C71120001202,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,12,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000012,00B07A14F039C7112000119C,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,12,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000012,00B07A14F039C71120001154,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-003-000,8,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000008,00B07A14F039C6D12000095D,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,8,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000008,00B07A14F039C6D12000092E,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,8,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000008,00B07A14F039C6D120000910,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,8,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000008,00B07A14F039C6D120000900,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,8,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000008,00B07A14F039C6D1200008E9,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,8,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000008,00B07A14F039C6D12000088E,s,s,s,2000188591633
